DATE;PROD
2006-01-01;52066
2006-02-01;60664
2006-03-01;67643
2006-04-01;63573
2006-05-01;69494
2006-06-01;69848
2006-07-01;68757
2006-08-01;74149
2006-09-01;72008
2006-10-01;72368
2006-11-01;67945
2006-12-01;64880
2007-01-01;54856
2007-02-01;61866
2007-03-01;61993
2007-04-01;62104
2007-05-01;66546
2007-06-01;56929
2007-07-01;64385
2007-08-01;67836
2007-09-01;61419
2007-10-01;72271
2007-11-01;66164
2007-12-01;64323
2008-01-01;52100
2008-02-01;68656
2008-03-01;68580
2008-04-01;75319
2008-05-01;67301
2008-06-01;65362
2008-07-01;78652
2008-08-01;76452
2008-09-01;76164
2008-10-01;73422
2008-11-01;63016
2008-12-01;59846
2009-01-01;100
2009-02-01;24406
2009-03-01;31474
2009-04-01;31966
2009-05-01;23672
2009-06-01;33311
2009-07-01;33897
2009-08-01;79
2009-09-01;29964
2009-10-01;33858
2009-11-01;30247
2009-12-01;28183
2010-01-01;15457
2010-02-01;24971
2010-03-01;39168
2010-04-01;43300
2010-05-01;46242
2010-06-01;49856
2010-07-01;57500
2010-08-01;44128
2010-09-01;60782
2010-10-01;58827
2010-11-01;58494
2010-12-01;55847
2011-01-01;41358
2011-02-01;53973
2011-03-01;59416
2011-04-01;58675
2011-05-01;47198
2011-06-01;58991
2011-07-01;57714
2011-08-01;56273
2011-09-01;55764
2011-10-01;52737
2011-11-01;46590
2011-12-01;43604
2012-01-01;31857
2012-02-01;47812
2012-03-01;52464
2012-04-01;53283
2012-05-01;49979
2012-06-01;48932
2012-07-01;52006
2012-08-01;55838
2012-09-01;53926
2012-10-01;54681
2012-11-01;55459
2012-12-01;51376
2013-01-01;36937
2013-02-01;51542
2013-03-01;44993
2013-04-01;37347
2013-05-01;26724
2013-06-01;38480
2013-07-01;48129
2013-08-01;51171
2013-09-01;45757
2013-10-01;51408
2013-11-01;43846
2013-12-01;26681
2014-01-01;23847
2014-02-01;36106
2014-03-01;41726
2014-04-01;33220
2014-05-01;34475
2014-06-01;38338
2014-07-01;42314
2014-08-01;16865
2014-09-01;26746
2014-10-01;22847
2014-11-01;33073
2014-12-01;41027
2015-01-01;18767
2015-02-01;37932
2015-03-01;45558
2015-04-01;37125
2015-05-01;24753
2015-06-01;30328
2015-07-01;17339
2015-08-01;5911
2015-09-01;23749
2015-10-01;19969
2015-11-01;22850
2015-12-01;19507
2016-01-01;11790
2016-02-01;24636
2016-03-01;26119
2016-04-01;22286
2016-05-01;23190
2016-06-01;24879
2016-07-01;18844
2016-08-01;19628
2016-09-01;23257
2016-10-01;24898
2016-11-01;35374
2016-12-01;21271
2017-01-01;16968
2017-02-01;23581
2017-03-01;30160
2017-04-01;27714
2017-05-01;23208
2017-06-01;31505
2017-07-01;23714
2017-08-01;21573
2017-09-01;30296
2017-10-01;41056
2017-11-01;34302
2017-12-01;27457
2018-01-01;25019
2018-02-01;30663
2018-03-01;33997
2018-04-01;39196
2018-05-01;25472
2018-06-01;36966
2018-07-01;25531
2018-08-01;26153
2018-09-01;31482
2018-10-01;37174
2018-11-01;45363
2018-12-01;36588
2019-01-01;28891
2019-02-01;36242
2019-03-01;37540
2019-04-01;38988
2019-05-01;23255
2019-06-01;40008
2019-07-01;25439
2019-08-01;28651
2019-09-01;37179
2019-10-01;35736
2019-11-01;28528
2019-12-01;28170
2020-01-01;23099
2020-02-01;32567
2020-03-01;27382
2020-04-01;11660
